it,cur,best,temp,d1,d2,d3,d4,r1,r2,r3,noise1,noise2
0,2414.322030562117,2414.322030562117,174.15652103004695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2414.322030562117,2414.322030562117,173.47957239850447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2397.2921642587307,2414.322030562117,172.13355883153815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2344.7513568259355,2397.2921642587307,171.4644734800144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2285.889524044697,2344.7513568259355,170.79798887183586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2177.3882967906775,2285.889524044697,170.1340948978798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2131.4974249531424,2177.3882967906775,169.4727814883178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2093.3409441852627,2131.4974249531424,168.1578562786177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2082.1875236965625,2093.3409441852627,166.85313346420438,1.155,1.1,1.2375,1.155,1.21,1.1,1.21,1.254,1.155
13,2044.453578139809,2082.1875236965625,165.55853388554186,1.155,1.1,1.2375,1.155,1.21,1.1,1.21,1.254,1.155
14,2005.875668948091,2044.453578139809,164.91500574033586,1.155,1.1,1.2375,1.155,1.21,1.1,1.21,1.254,1.155
16,1909.4439535666315,2005.875668948091,163.63544393341078,1.155,1.1,1.2375,1.155,1.21,1.1,1.21,1.254,1.155
18,1818.0286347494973,1909.4439535666315,162.36581014007302,1.155,1.1,1.2375,1.155,1.21,1.1,1.21,1.254,1.155
21,1804.7109827622198,1818.0286347494973,160.47980613459018,1.3084500000000001,1.254,1.225125,1.3909500000000001,1.3079,1.309,1.3629,1.35146,1.3909500000000001
22,1780.1443200150907,1804.7109827622198,159.85601906930842,1.3084500000000001,1.254,1.225125,1.3909500000000001,1.3079,1.309,1.3629,1.35146,1.3909500000000001
27,1737.765332099683,1780.1443200150907,156.77326582210017,1.3084500000000001,1.254,1.225125,1.3909500000000001,1.3079,1.309,1.3629,1.35146,1.3909500000000001
28,1690.2442228092923,1737.765332099683,156.16388612656522,1.3084500000000001,1.254,1.225125,1.3909500000000001,1.3079,1.309,1.3629,1.35146,1.3909500000000001
